127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/calendar.js, HTTP/1.1, 200, 0.023724
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/css/calendar.css, HTTP/1.1, 200, 0.027447
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.006295
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/share.js, HTTP/1.1, 200, 0.000677
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/css/web2py.css, HTTP/1.1, 200, 0.062691
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.081406
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.043552
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.094958
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.127435
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/images/twitter.png, HTTP/1.1, 200, 0.001356
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/images/facebook.png, HTTP/1.1, 200, 0.000537
127.0.0.1, 2014-10-16 16:41:55, GET, /Practical2/static/images/gplus-32.png, HTTP/1.1, 200, 0.000806
127.0.0.1, 2014-10-16 16:41:59, GET, /Practical2/default/index, HTTP/1.1, 200, 0.246110
127.0.0.1, 2014-10-16 16:42:22, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.082182
127.0.0.1, 2014-10-16 16:42:22, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.086307
127.0.0.1, 2014-10-16 16:42:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.306276
127.0.0.1, 2014-10-16 16:42:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.307160
127.0.0.1, 2014-10-16 16:42:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.385273
127.0.0.1, 2014-10-16 16:42:23, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.285353
127.0.0.1, 2014-10-16 16:43:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047883
127.0.0.1, 2014-10-16 16:43:47, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.057142
127.0.0.1, 2014-10-16 16:43:51, GET, /Practical2/default/index, HTTP/1.1, 200, 0.074046
127.0.0.1, 2014-10-16 16:43:54, GET, /admin/default/design/Practical2, HTTP/1.1, 200, 0.201654
127.0.0.1, 2014-10-16 16:43:58, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.779776
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.193833
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001187
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001583
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.004965
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001269
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/jquery.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001473
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001481
127.0.0.1, 2014-10-16 16:44:00, GET, /Practical2/static/js/share.js, HTTP/1.1, 304, 0.001068
